ItemId,Price
18828,5
18829,5
18830,15
18831,9
18832,24
62,80
63,1456
65,3904
66,9280
136,18464
139,23860
142,29610
146,35150
11072,40360
143,58340
152,66050
154,77440
157,84000
11821,93000
11851,100500
14257,108000
14282,115500
73,40
69,1036
9933,1952
71,4112
9049,8480
9943,11930
165,13950
167,16600
169,20180
9953,29170
9958,33020
164,42010
11419,55800
11891,60300
14307,64800
14327,69300
72,100
74,1820
75,4880
78,11600
178,23080
180,29830
184,37020
182,43150
11117,50460
190,72930
196,82560
194,96810
199,134400
12171,148800
12201,160800
14512,172800
14537,184800
80,100
81,1820
82,4880
85,11600
207,23080
209,29830
213,37020
211,43150
11147,50460
221,72930
222,82560
223,96810
231,134400
12396,148800
12426,160800
14637,172800
14662,184800
91,80
92,1456
93,3904
97,9280
250,18464
252,23860
256,29610
259,35150
11087,40360
264,58340
268,66050
266,77440
274,84000
11996,93000
12026,100500
14372,108000
14397,115500
87,40
88,1036
9998,1952
90,4112
9972,8480
9973,11930
9978,14800
240,16600
10057,20180
10052,29170
243,33020
9988,42010
11434,55800
12066,60300
14422,64800
14442,69300
98,100
99,1820
100,4880
104,11600
279,23080
281,29830
285,37020
283,43150
11102,50460
290,72930
294,82560
295,96810
300,134400
12086,148800
12116,160800
14462,172800
14487,184800
105,100
106,1820
107,4880
110,11600
308,23080
310,29830
312,43150
11162,50460
315,72930
324,82560
323,96810
331,134400
12451,148800
12481,160800
14687,172800
14712,184800
112,100
113,1820
114,4880
117,11600
335,23080
339,29830
343,37020
347,43150
11132,50460
348,72930
352,82560
355,96810
360,134400
12311,148800
12341,160800
14587,172800
14612,184800
119,100
120,1820
121,4880
366,11600
365,17680
125,29830
370,38400
381,50460
372,82560
375,96810
383,134400
390,148800
386,160800
11916,172800
14347,184800
126,100
127,1820
132,4880
128,10280
129,17680
396,25040
130,31360
131,38910
395,50460
398,82560
401,96810
405,134400
410,148800
419,160800
14562,172800
414,184800
14737,100
14742,14500
14747,32000
14752,64800
14757,100800
14762,151300
14767,159000
14772,160800
14787,172800
14812,184800
20027,100
20032,47736
20037,79560
20042,172800
20047,184800
422,480
424,960
425,2730
8115,4920
521,9300
524,12960
528,16650
531,21520
533,23680
537,31140
535,33930
8125,36850
544,93300
541,115350
12551,134700
426,840
427,1680
8223,4760
429,8580
547,16260
550,22740
554,29110
557,37640
558,41490
8233,54510
561,59370
563,64500
570,163300
8238,201862
12671,235725
434,480
435,960
8423,2730
437,4920
599,9300
602,12960
606,16650
609,21520
610,23680
8433,31140
613,33930
615,36850
622,93300
8438,115350
12808,134700
430,600
431,1200
8323,3360
433,6120
573,11640
576,16200
580,20790
583,26880
584,29650
8333,38910
587,42430
589,46100
596,116600
8338,144187
12928,168375
438,480
439,960
8198,2730
441,4920
625,9300
628,12960
632,16650
637,21520
636,23680
639,31140
641,33930
645,36850
8213,89900
12626,115350
12641,134700
442,840
443,1680
8298,4760
445,8580
651,16260
654,22740
658,29110
661,37640
662,41490
665,54510
667,59370
671,64500
8313,157300
12746,201862
12761,235725
450,480
451,960
8498,2730
453,4920
705,9300
708,12960
712,16650
715,21520
716,23680
719,31140
721,33930
725,36850
8513,89900
12883,115350
12898,134700
446,600
447,1200
8398,3360
449,6120
680,11640
683,16200
687,20790
690,26880
691,29650
694,38910
696,42430
700,46100
8413,112400
13003,144187
13018,168375
454,480
455,960
8148,2730
457,4920
731,9300
734,12960
738,16650
741,21520
742,23680
10416,31140
747,33930
745,36850
8158,73700
756,115350
12581,134700
458,840
459,1680
8248,4760
461,8580
758,16260
761,22740
765,29110
768,37640
769,41490
10421,54510
774,59370
772,64500
8263,129000
783,201862
12701,235725
466,480
467,960
8448,2730
469,4920
812,9300
815,12960
819,16650
822,21520
823,23680
935,31140
828,33930
826,36850
8463,73700
837,115350
12838,134700
462,600
463,1200
8348,3360
465,6120
785,11640
788,16200
792,20790
795,26880
796,29650
10528,38910
801,42430
799,46100
8363,92200
810,144187
12958,168375
470,480
471,960
8168,2730
473,4920
839,9300
842,12960
846,16650
849,21520
850,23680
8188,31140
8178,33930
859,36850
853,70700
12596,115350
12611,134700
474,840
475,1680
8273,4760
477,8580
865,16260
868,22740
872,29110
875,37640
876,41490
8283,54510
8288,59370
885,64500
879,123700
12716,201862
12731,235725
482,480
483,960
8473,2730
485,4920
917,9300
920,12960
924,16650
927,21520
928,23680
8483,31140
8488,33930
937,36850
931,70700
12853,115350
12868,134700
478,600
479,1200
8373,3360
481,6120
892,11640
895,16200
899,20790
902,26880
903,29650
8383,38910
8388,42430
911,46100
906,88400
12973,144187
12988,168375
490,100
493,100
499,560
8105,720
505,400
508,560
511,640
9465,100
34,150
7553,1500
36,150
9362,1500
55,30
57,100
9401,600
58,100
9402,600
59,100
9403,1200
37,400
39,400
9365,400
9366,400
9367,200
9368,200
9369,300
9370,400
9371,400
42,1000
43,1000
44,1000
45,1000
9858,20
9859,20
9860,30
9861,35
9862,50
10155,50
10156,50
10157,50
10158,50
10159,50
10160,50
10161,50
10162,100
10163,100
1074,100
7768,100
7773,100
7824,200
7858,150
7893,200
7917,100
7961,150
7974,100
7993,100
8002,300
8035,500
8067,500
9455,15000
11784,10000
8929,1000
8930,1000
8932,1000
8933,2000
7827,1000
7828,1700
9407,750
1351,750
9408,750
9409,750
35,500
7552,1000
9361,1000
8928,1000
24821,1000
11719,200
11720,200
11721,200
11722,200
11723,200
11724,200
11725,50
11726,50
11727,50
11728,50
11729,50
11730,50
11731,50
11732,50
11733,50
11734,50
11735,50
11736,50
11737,50
11738,50
11739,50
11740,100
11741,100
11742,100
11743,100
11744,100
11745,100
11746,100
11747,100
11748,100
64,2080
76,2600
83,2600
94,2080
101,2600
108,2600
115,2600
124,2600
423,1280
8218,2240
8418,1280
8318,1600
8193,1280
8293,2240
8493,1280
8393,1600
8143,1280
8243,2240
8443,1280
8343,1600
8163,1280
8268,2240
8468,1280
8368,1600
8538,480
504,600
500,720
8533,800
509,360
510,440
8668,720
8663,800
8793,400
512,480
8783,600
8788,720
9372,400
9373,400
61,500
8938,3000
8935,3000
8941,3000
8940,3000
8942,3000
8943,3000
8944,3000
8945,3000
8946,3000
9195,10
9199,10
9193,10
9257,300
9259,300
9261,300
9263,300
9265,300
9258,1000
9260,1000
9262,1000
9264,1000
9266,1000
9287,10
9291,10
9285,10
9339,8
9337,8
9335,12
9333,12
9331,12
9329,12
9286,2000
9290,2500
9294,1000
9296,1000
9429,2000
67,6304
70,2720
77,7880
84,7880
95,6304
10047,2720
102,7880
109,7880
116,7880
123,7880
8548,1980
8553,2160
974,2340
8673,1980
8683,2340
7844,200
7972,15000
7551,1700
7798,300
10998,100
10997,50
10996,30
10989,50
10988,30
10987,10
10985,100
9463,50
9462,30
9461,10
9460,50
9459,30
9458,10
11013,200
11012,100
11011,50
10042,15520
137,21664
162,7072
163,10832
177,19400
179,27080
206,19400
208,27080
249,15520
251,21664
235,7072
234,10832
278,19400
280,27080
307,19400
309,27080
336,19400
338,27080
